clase,Proceso,num_cuantia,dep_municipio
0,1,1,1
0,1,2,1
0,0,1,1
0,0,1,1
1,1,2,1
1,0,1,1
1,0,1,1
1,0,1,1
0,1,1,5
0,1,1,17
0,0,1,1
0,0,1,1
0,0,1,27
1,0,1,1
0,0,1,1
0,0,1,1
0,0,1,15
0,0,1,15
0,0,1,15
0,0,1,15
1,1,2,1
0,2,3,15
0,2,2,15
0,2,2,15
0,1,2,15
0,1,1,47
0,1,1,1
0,1,2,1
0,1,1,17
0,1,2,17
0,1,2,17
0,1,1,17
0,1,1,1
0,1,1,17
0,1,1,17
0,0,1,1
0,0,1,15
0,1,1,1
0,2,4,14
0,2,3,14
0,1,2,40
0,1,1,55
0,1,2,1
0,0,1,1
0,1,1,1
0,0,1,1
0,0,1,1
0,1,2,1
0,1,2,1
0,1,1,17
0,1,2,17
0,0,4,40
0,1,1,1
1,1,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,1,2,1
0,1,1,1
0,1,1,1
0,1,5,1
0,1,2,60
0,1,1,60
0,1,1,60
0,1,1,17
0,1,1,17
0,1,1,17
0,1,1,17
0,1,1,17
0,1,1,17
0,1,1,17
0,1,1,17
0,1,1,17
0,0,1,1
0,1,1,35
0,1,1,1
0,1,1,1
0,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,1,3,1
0,1,2,1
0,1,2,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
0,1,2,63
1,0,1,1
0,1,1,1
0,1,2,1
0,1,4,1
0,1,1,1
0,1,1,1
0,1,2,1
0,0,1,1
0,0,1,1
1,1,2,1
1,1,2,1
0,1,1,1
0,1,1,17
0,1,1,1
0,0,1,1
0,0,1,1
0,1,2,17
0,1,2,64
0,1,2,83
0,1,2,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,2,1
0,1,2,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,1,1,17
0,1,1,1
0,1,1,92
0,1,2,1
1,1,1,1
1,0,1,1
1,0,1,1
1,1,1,1
1,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
1,2,4,1
0,0,1,15
0,0,1,15
0,0,1,15
0,1,1,1
0,1,1,1
0,1,1,1
0,0,1,1
1,1,1,1
1,1,1,1
1,0,1,1
0,1,1,1
1,0,1,1
1,0,1,1
